knowledge_article_id,description,module,keywords,category_1,category_2,category_3,issue,resolution
400000164,PKI Digital Signature,Authorization,PKI Digital Signature,Authorization,Authorization,Token/SSF ID/Digital Signature (GPKI),GPKI System Technical Problems,"Users need to log a complaint through the GPKI Desk System (https://gpki.mampu.gov.my/gpki_portal)
https://gpkidesk.mampu.gov.my/gpki_helpdesk_portal/home"
400000165,Check the user's role -access information,Authorization,The accessibility of a user's role,Authorization,Authorization,Update Profile and Role/Workset/iView,Users can review the role and power limit through the portal reports,User Access Report and Power Limit on IGFMAS Portal
400000166,Check the user's power limit,Authorization,Check the user's power limit,Authorization,Authorization,Changes of Power Limit Certify and Check,Users can review the role and power limit through the portal reports,User Access Report and Power Limit on IGFMAS Portal
400000167,"Issue No Recipient, Once Documents Sent/Calculated",WF,No Erorr Document Recipient,Application,Workflow,Workflow Admin,Review at STH/Inbox found that documents were not in for a,"ZWA2/ZWA2A Report Run made by BPTM Workflow was found to have ERROR status> List of recipients is empty> Press PIE chart icon for authorization details> Puneman should submit authorization details information to LA/Authorization Team.Apply additional information from existing solutions included for
Further actions:

Financial Year:
No PTJ Provides document:
Document number:
IC Officer Document:"
400000168,Document Search Help,WF,DOCUMENTS NO IN STH / INBOX,Application,Workflow,Workflow - Others,Apply for Document Search Help under WF BPTM,WF BPTM> BPTM module to check table modules to obtain documents
400000169,"Document issues still exist in STH/Inbox, although action has been taken (documents have been implemented at the last stage)",WF,DOCUMENTS NO IN STH / INBOX,Application,Workflow,Workflow Admin,"The review at STH/Inbox found that documents still exist, while the certification has been implemented","BPTM Workflow needs to complete the documents stuck at the final stage: Report zwa2/zwa2a> Check status status: Ready/started status> If Started Status> Click Swia icon> Click Replace Replace Manually> Status will switch to Ready> Click Set Workitem Icon Status> Convert Status to: Started + Agent ID Agent Apply for additional information from existing solutions included for
Further actions:

Financial Year:
No PTJ Provides document:
Document number:
IC Officer Document:"
400000170,E-Procurement Payment Document Document does not exist in sth,WF,"DOCUMENTS NO IN STH / INBOX
Ep document",Application,Workflow,List of Daily Tasks (STH),E-Procurement Payment Document Document does not exist in sth,"Check Table ZWFT001> Check Document Status: Status 22/42 (Kuiri Process)> Inform the user that the document has been exposed, and does not exist in Sth Igfmas> Please check in e-Procurement"
400000171,"Document issues do not exist in sth, for some of the squares",WF,DOCUMENTS NO IN STH / INBOX,Application,Workflow,Workflow Admin,"Review in Swia found that the document was opened by the Aunt A, resulting","The document has been accessed by the actor A causing the document to be locked from the access by another.To be allowed to reset by another.BPTM WorkFlow Action: Report ZWA2/ZWA2A> Check Record Status: Started Status> Click Swia icon> Click Replace Replace Manually> Status will switch to Ready> Documents will be re -evaporated for all recipients to apply for additional information from existing solutions included for
Further actions:

Financial Year:
No PTJ Provides document:
Document number:
IC Officer Document:"
400000172,A list of documents recipients,WF,A list of documents recipients,Application,Workflow,Workflow Admin,"The AA module applied for a list of documents, as it did not identify who the recipient of the PTJ was responsible for the document was generated by the PTJ",Report Report ZWA2/ZWA2A> Click Record to check the recipient> PTJ recipients list
400000173,"Documents do not exist in STH, though WF has been on Trigger",WF,DOCUMENTS NO IN STH / INBOX,Application,Workflow,Workflow Admin,"Review on Table Module found Status has been 10 (send), but check on Table WF (ZWFT001) No record","Restart Document Tak Trigger WF: Check Table Module/ Table Zwft001> Table Module Status 10> Restart Manual TCODE Swus Apply Additional Information from Existing Solutions included for
Further actions:

Financial Year:
No PTJ Provides document:
Document number:
IC Officer Document:"
400000174,Information on Different Document Log Officer ID with an officer who approved,WF,Document Log ID,Application,Workflow,Workflow Admin,Information of the officer taking action by using another officer's computer,"a) Please use your own computer to avoid such things.
b) If the officer's computer is damaged to require the use of another employee's computer, please clear the computer cache before using it."
400000181,Error FM Account Assignment Cannot Be Budgeted in Budget Category 9F (General Warrant),FM,FM Account Assignment (General Warrant),Application,Warrant,Warrant,"Error FM Account Assignment Cannot Be Budgeted in Budget Category 9F (General Warrant)
Example;
No.001 FM Account Assignment B10/B6/30000/-/B10010200 Cannot be budgeted in budget category 9f",Check the general warrant at the ministry level whether or not it has been created.
400000183,No GL Journal Voucher document is not generated auto,GL,No document is not generated,Application,Journal Vouchers,Journal Vouchers,No GL Journal Voucher document is not generated auto,"Review categories for PTJ & PTJ Groups Provide.If the PTJ & PTJ group prepared is from the manual category, the document number should be locked in by the user based on the Manual Journal voucher."
400000184,Check the AO without a square i,GL,Journal vouchers,Application,Journal Vouchers,Journal Vouchers,Journal Vouchers are reviewed by AO without a paddy i,"Review categories for PTJ & PTJ Groups Provide.If the PTJ & PTJ group prepared is from the manual category, the verification action of the basin I is not required.The journal voucher document will continue to be sent for AO review."
400000185,Error Control Account Code,GL,Journal vouchers,Application,Journal Vouchers,Journal Vouchers,"Error display ""Control Account Code XXXXXXXX is not allowed""","Check the account code using the FS00 transaction code (please contact the AO for review).
The use of account code from the Recon Account category is not allowed."
400000186,No Control Document,GL,Journal vouchers,Application,Journal Vouchers,Journal Vouchers,S2 Journal Voucher No No.Control document,"1. Review the status of the Journal voucher document involved.
If it is still 40, the action is required.

2. For Journal S2 vouchers, the last certificate will be determined by the PTJ & PTJ Group Code.
- If the PTJ & PTJ group pay is from the manual category - the last quarter is a certificate II and the control document will be generated after the Certificate II action is implemented.
- If the PTJ & PTJ group paid is from the electronic category - the last quarter is a declaration and the control document will be generated after the acceptance action is taken."
400000187,Error of Budget Balance Report and Provision,FM,Budget Balance Report and Provision,Application,SAPGUI - GLFMCO,Report - Transaction,Report cannot be generated and occurred Time Out display,Consumers are advised to make a background for reports that failed to be generated
400000188,Documents not found in the sth of the Violence,AA,Documents Update Asset Data Data Not Found In STH Verification,Application,Master Data,Assets - Update of Asset Master Data,The provider clicked the Save button but did not click the Send button when performing the asset data update process.Proposed Status of Asset Data Change Still 00.,Ask the provider to go to the Master Data menu> Assets> Proposed Change and Enter No.Updated assets and proceed with the process until clicking the Send button.
400000189,Acquisition Value Negative in Area 01,AA,Acquisition Value Negative In Area 01 At the Asset Cost Reduction Adjustment Process,Application,Asset Accounting,Asset Cost Reduction Adjustment,The amount of the asset cost reduction adjustment is exceeded by the amount of the asset acquisition during the current year.,Asset cost reduction adjustments can only be made for the current year's acquisition amount.
400000190,Documents not found in STH Officer,AA,Asset Accountingdocuments not found in STH Officer,Application,Asset Accounting,Others,The document has been sent to the approval Officer but does not exist in approved officer STH,"Review the authority limit/ approve the Officer.The confirmation/passing power limit is based on the amount of debit or credit for a document on the simulation screen.

For bulk transaction documents, the authority limit/approval is based on the highest amount of debit or credit on the simulation screen between all documents in a bulk file."
400000191,Journal voucher document is not generated,AA,Journal voucher document is not generated,Application,Asset Accounting,Others,Journal voucher document is not generated despite the actions of certification or acceptance.,Please ask the officer not to close the certificate screen.Wait until the document message is successfully approved before closing the screen.
400000192,Clear Browser cache,Portal,Page Cannot Be Displayed,Application,Portal,Others,There was an error on the browser cache used,It is recommended for the users to clear the cache browser and restart the browser used.
400000193,Pop-up blocker,Portal,Pop-up,Application,Portal,Others,There is a pop-up blocker in the browser used.,Closing a pop-up blocker in a used browser
400000194,Sap gui for html failed,Portal,Sapgui for html,Application,Portal,Others,The SAP GUI for HTML error is displayed.,Arrange a browser settings to solve the problem
400000195,Error Export to Excel,Portal,Excel,Application,Portal,Others,Error when to Export to Excel,Arrange a browser settings to solve the problem
400000196,PDF issue,Portal,Pdf,Application,Portal,Others,PDF cannot be displayed on the portal,It is advisable for Uninstall Adobe Acrobat Reader and Re-Install again
400000197,Cannot Connect to Provider,Portal,Cannot Connect to Provider,Application,Portal,Assignment - Daily Task List (STH),CANNOT CONNECT TO PROVIDER is displayed on STH,"There are several factors that cause this issue to occur and its solution:
1. User locked and ask for authorization to check.
2. Issues of basis"
400000198,MTEN's report cannot be generated,BWBI,BW,Application,BWBI,Bex Analyzer,The report cannot be generated.Message 'A Critical Program Error Has Occurred.The program will now terminate 'is displayed.,Users need to update the existing version of the system to version 7.6.
400000199,Different penny views in Trust Report,BWBI,BW,Application,BWBI,Bex Analyzer,Data in Report.There is a difference in sen views in the balance of the trust report with the data on the ECP.,Users need to update the existing version of the system to version 7.6.
400000200,No period of existing parameters in Report A1,BWBI,BW,Application,BWBI,Crystal Report,There is no parameter period for the current month's choice as the option is only until January 2019.,"When this issue occurs, users will need to remove the previously prescribed setting section by:

1. Press the All button to display the parameters of the month/year if this parameter is not displayed
2. Press the Personalization icon next to New Value and click on Delete Personalization to remove Retired Rulers
3. Monthly/Year parameters and current monthly selection are displayed"
400000201,No option SP 4 for Cash CCC report parameters,BWBI,BW,Application,BWBI,Crystal Report,There is no selection of SP 4 parameters for the current year,"Users need to enter the full parameters manually on the month/year parameters with:

1. Enter [0fiscper]. [K42022016] on the month/year parameters
2. Press the Add button
3. The Special Period parameters entered are displayed on Current Value
4. Generate Report by clicking on Execute

This issue will only be resurrected at the beginning of next year when users want to generate statements using SP 4 2022, but flat file data only until December 2022"
400000202,The report could not be generated,BWBI,BW,Application,BWBI,Crystal Report,The report cannot be generated.Message 'The viewer could not process an event.The database logon information for this report is either income or incorrect.[] ---- ERROR CODE: [CRWEB00000119] 'is displayed.,"When this issue occurs, users need to clear the cache in the History Settings section on the browser used:

1. Press the History button
2. Click on Clear Browsing Data and select CLEAR DATA
3. Login and re -generate statements"
400000203,Cannot print,eApps,email,Application,eApps,eMail,Cannot print.,"Supplier information should be reviewed in the system by entering the number. INTRODUCTION CARD (INDIVIDUAL)/ COMPANY REGISTRATION NUMBER (Supplier) in the first field, and enter the account number or invoice number or payment reference number in the second field.

If not in the system, a review should be made at the database.If the information is not available, further review should be made on the SAP portal whether the information has been submitted to it or not"
400000204,No data was found in Embassin,eApps,email,Application,eApps,eMail,No data found,"Payment records are still in the process of scheduling.Please review within 3-5 business days of the Employment System or the AO/PTJ party may also refer to the IGFMAS FIAP portal for immediate information.In this regard, seek the cooperation of BPTM Eapps to obtain the relevant authority letter format for information generation at the IGFMAS portal."
400000205,PTJ/AO User List (Accounting Office),Authorization,A list of users,Authorization,Authorization,List of Users,List of users according to PTJ/AO under the accounting office (AO) respectively,PTJ/AO can apply for a list of users via Local Admin (LA)
400000206,Bank accounts are not in the supplier information,eApps,eVendor,Application,eApps,eVendor,Bank accounts are not in the supplier information,"For your information, the vendor branch information should only be filled if the vendor has a branch.If there are no branches, the vendor only needs to add bank information.

In this case, we advise you to delete bank information and vendor branch information (if there are no branches), and regenerate bank information as headquarters.

For more information, the AG Eapps Help Trees to explain in more detail about SOP for updating bank data at eVendor."
400000207,Supplier data does not exist in eVendor,eApps,eVendor,Application,eApps,eVendor,Supplier data does not exist in eVendor,"Need to review at eVendor, if the provider's information is not available in eVendor, the provider will need to re -register at eVendor"
400000208,Bank account updates are unsuccessful,eApps,eVendor,Application,eApps,eVendor,Bank account updates are unsuccessful,"Review should be made at eVendor, if no information is found, this is likely because the provider does not activate the account after 6 months of registered in eVendor.To your knowledge, the eVendor system will automatically deactivate the inactive supplier."
400000209,"The bank account update is unsuccessful, there is an error",eApps,eVendor,Application,eApps,eVendor,"The bank account update is unsuccessful, there is an error","Review at eVendor found that supplier information was registered through Mass Upload Vendor.If you want to update the account bank, you will need to re -upload the file with the updated bank account number."
400000210,Please review bank information,eApps,eVendor,Application,eApps,eVendor,Please review bank information,The review at eVendor found that the supplier was updated-3 (information failed to update by IGFMAS SAP) was due to this supplier in the ePerolehan system and was not allowed to continue any transactions or updates in the eVendor system.The contractor's tree is updating the bank information in the ePerolehan system.
400000211,"Registration unsuccessful, exit 'username already exist' error",eApps,Update information,Application,eApps,eVendor,"Registration unsuccessful, exit 'username already exist' error","Our review at eVendor found that the supplier IC had been registered as a user ID (username) for other companies and caused the registration at eVendor to fail.

Ask the supplier to update the user ID in addition to using IC."
400000212,Supplier does not receive email ID and password after registering,eApps,Email information,Application,eApps,eVendor,Supplier does not receive email ID and password after registering,"The supplier's tree to reset the password following the issue is an email issue.

The supplier is also checking the junk or spam folder."
400000213,Unable to update information in the eVendor system,eApps,Update information,Application,eApps,eVendor,Unable to update information in the eVendor system,"Your company may have been registered with ePerolehan (scope of supply and service) before.For the purpose of updating information (bank account for work scope), the supplier is required to update the information in the ePerolehan system."
400000214,E-vendor information problem overlapping,eApps,False registration,Application,eApps,eVendor,E-vendor information problem overlapping,Trees Enter a username or vendor ID that never exists in eVendor.
400000215,Information to be submitted,eApps,Complaint information,Application,eApps,eVendor,What information should be presented when making complaints?,"Please submit a company name, company registration number, address, phone number and name of the payer or the name of the ministry or department you are committed, and then the complaint description."
400000216,Egumis claim application problem,eApps,General information,Application,eApps,eGUMIS,Egumis claim application problem,"Students are unable to continue the claim are most likely due to, the student's application form has a drafting application.Where, the student had previously made a claim but the claim was only half way, causing the application to become a draft status.

We would like to recommend the Work Around Solution as follows:

The student's tree to clear the form of the draft claim by canceling the claim or continuing the claim until the completion.Then, then the system allows to make another application.This is due to, only one IC is allowed for each application.Students can review the status of the claim form in the Application List menu."
400000217,Status does not change in Egumis,eApps,General information,Application,eApps,eGUMIS,"The ""new"" status in the egumis system has not changed even though the claim application has been completed","Our review found that we did not receive files from the Gumis.Therefore, the status of the application has not changed.Please review the SAP Gumis Portal."
400000218,Claim application fall,eApps,General information,Application,eApps,eGUMIS,Students are unable to fall one claim application,"As a result of the simulation, we found that the egumis system had no problem dropping the application data.Students are unable to drop the data.

We would like to recommend the Work Around Solution as follows:

The student's tree to eliminate all of these claims first, and then be asked to regenerate the required applications only."
400000219,Claim application has been completed manually,eApps,General information,Application,eApps,eGUMIS,Claim application has been completed manually without Kuiri Online,Apply for action from the user to complete the KUIRI (online claim) process until pass.
400000220,Update the applicant's email,eApps,General information,Application,eApps,eGUMIS,Please update the student's email,"Any user email conversion is not an item that can be requested through Solman as it is not categorized as a system issue or problem.For your information, these users can re -register using the latest email in Egumis and start the claim process as usual.If the claim has been made earlier using the email, you may apply to the WebServices, BPTM for the purpose of changing the data or eliminating the application by non -Solman application through the Service Request."
400000221,Excess of Invoice Amount in Receipt,AR,Invoice,Application,Receipt,Invoice,What should PTJ do if there is an excess of the amount of invoice to be resolved once the payment receipt is received from the customer?,"The steps that PTJ can take to resolve this issue is to create a Journal of Calculation (D9) on the invoice to be resolved.The PTJ is not recommended to establish a credit note, this is because the credit note is not a clearing of the invoice document even though the amount of the invoice has been RM0.00 and the invoice document will still open the item in the customers involved."
400000222,Cash submission,AR,Cash submission,Application,Receipt,Cash Submission,Why is the 'Send' Dimmed button and can't take any action on the cash submission list?,"If the 'Send' Dimmed button, the PTJ should fill in the bill for the cash analysis in advance according to the cash received and press 'enter' after the field is filled.The 'Send' button will open after the cash amount and the amount at the same cash analysis.
PTJ can also refer to the user manual available on the JANM Accrual Accounting Official Portal at https://www2.anm.gov.my/akruan"
400000223,BJ DM Extra - Lumpsum Receipt (Subsequent Process: OTC Receipt Type),AR,DM additional,Application,Receipt,Journal Voucher Bounced Check,How To Do Subsequent Process Replacement Receipt For Scenario CTL Receipt Lumpsum Type of OTC Receipt,"The PTJ should do it on the Receipt Tab> List> Select the OTC Payer type.Then Key Enter No BJ DM in the ""RESEARCH NO. BJ DM"".BJ DM information will be displayed in the receipt charge section."
400000224,PTJ Customer List,AR,PTJ Customer,Application,Receipt,Regular Receipts-OTC,"Why PTJ Customer Error PTJ ""Customer 10240101 is not defined in Company Code FGOM"".","In the event of this issue, the PTJ will need to sign up for PTJ customers first on the Master Data Tab> Customer Information before making an OTC receipt transaction."
400000225,The receipt of the mail,AR,Mailing,Application,Receipt,Mail Reception,What to do if the user applies to cancel the mail register?,"Cancel mail can be done through a receipt list.The receipt provider must first take action, and then the mail provider can continue the Mel's cancel action at STH."
400000226,Receipt Code,AR,Register the Code of Cover,Application,Master Data,Receipt Code,Why did the previous year's code not existed in the current year?,The coding code needs to be brought forward by taking action to take the forward process in the update code.
400000227,The collector's statement,AR,List of Collector Statements,Application,Receipt,Auto Collector Statement,Why does the data error exist not when you want a collector's statement?,"The date in the collection period must be filled according to the receipt date and the correct payment method.During the AKB period, the collection period is according to the receipt date."
400000228,The collector's statement,AR,List of Collector Statements,Application,Receipt,Online Collector Statement,Why does the data error exist not when you want a collector's statement?,"For the IDD receipt where the receipt date can be filled, the collection period is based on the receipt date."
400000229,The collector's statement,AR,List of Collector Statements,Application,Receipt,Online Collector Statement,"The Online Collector Statement displays ""Data Data No"" when pressing the Jana button.","Need to review the status of the inbound/outbound file (AR902), it is likely that the files are sent and not processed in the IGFMAS system or the file is not sent to the IGFMAS system."
400000230,Journal voucher Cancel receipt,AR,Journal Voucher Cancel Receipt,Application,Receipt,Journal Voucher Cancel Receipt,"Journal Voucher Cancel Receipt Displays ""Account A0122101 FGOM Is Currently Blocked by User XXXXXXXXXXXX (IC No)"" ""","This issue occurs when the system performance is slow and the account code A0122101 is shared by all PTJs
Solution: Users can retry after a while.(when the IGFMAS system is stable)"
400000231,Users with two roles (DISP & MAINT) for the same PTJ/KPTJ code,MyCost,The role of mycost module,Application,MyCost Portal,MyCost Portal,"Users with two roles (ZQ) (DISP & MAINT) for the same PTJ/KPTJ code will result in a data display or access to a Screen MyCOST module inaccurate/incorrect.
Examples of users with two roles (ZQ) (DISP & MAINT) for the same PTJ/KPTJ code:
Username: User Provider 09
PTJ: 25020100
Two Roles (ZQ): ZQ: MyCost-PTJ25020100-DISP
ZQ: MyCost-PTJ25020100-Maint","Users need to select the role (ZQ) of the dispute or maintain the same PTJ/KPTJ code at a time.The change in role can be performed by their respective LA AO.
Examples of users who have one role (ZQ) DISP or MAINT for the same PTJ/KPTJ code:
Username: PBC PTJ Provider
PTJ: 18011100
One Role (ZQ): ZQ: MyCost-PTJ18011100-Maint"
400000232,Transactions are not taken into account in the vot position report,FM,Vot position report,Application,Report,Vot Position Report,Transactions are not taken into account in the vot position report,"Make sure the transaction posts are not using the General Category Commitment item by checking on the FB03 transaction code (please contact the AO for further review).

Vot position report will not display transactions using Commitment item from General category"
400000233,Date of transaction post,AR,Post Date,Application,Receipt,Post Date,Post date does not need default to current date,"The post date for all transactions in the 1GFMAS system will default to the current date.This is because the system only allows the post on the current date except for certain transactions.
(Examples of MDM transactions, AKB)"
400000234,BJ DM Extra - Lumpsum Receipt (Subsequent Process: Common Type of Receipt),AR,DM additional,Application,Receipt,Journal Vouchers,How to do a subsequent process of replacement receipt for scenario CTL Receipt Lumpsum Type Receipt Type,PTJ needs to do so on the receipt tab.Sign up and then Lock No BJ DM in the charge line in column No.Document.As an alternative PTJ can click on the search box in column No.Document to find no BJ DM.
400000235,BTC amount difference and amount of integration system,AR,IDD receipt,Application,Receipt,Report,Why is there an issue when the PTJ compares the receipt amount made for that date in the Integration System (IDD) and the amount uploaded at IGFMAS through the BTC report.,"Need to review the status of the inbound/outbound file (AR902), it is likely that the file sent has an error and is not processed in the IGFMAS system."
400000236,BJ Adjustment DV (Radio Button 1 - Radio Button 5),AR,BJ Adjustment,Application,Receipt,DV Adjustment Journal Voucher,"Why the ""Inter AO is not allowed"" error appears when the BJ adjustment is made for Radio Button 1 - 4.","This control is made by the system to ensure that no inter-ba posts occur.In this regard, Inter BA is not allowed for Radio Button 1 - 4, only Inter Segment and Inter Fund are allowed."
400000237,The collector's statement,AR,The collector's statement,Application,Receipt,The Collector's Statement,"Auto/Offline/Online Collector Statement displays ""Account A0122101 FGOM is Currently Blocked by User XXXXXXXXXXXX (IC No)""","This issue occurs when the system performance is slow and the account code A0122101 is shared by all PTJs
Solution: Users can retry after a while.(when the IGFMAS system is stable)"
400000238,Upload Program for Investment Data from Kwan for Report Purpose Only,TR,Kwan,Application,SAPGUI - Treasury Management,TR Investment,As a local reference for the latest upload template as the template is not stored at,"Mr/Mrs.
The following is a list of templates for the National Trust Fund Investment Data Upload Program (ZUTR116) under the TR-UNV module

Save this softcopy template for reference.

So, please note.Thank you."
400000239,Dividend Distribution Distribution Template,TR,Upload dividend distribution,Application,SAPGUI - Treasury Management,TR-GSMIS,As a local reference for the latest upload template because the template is not stored on the program,"Mr/Mrs.
The following is a template for the dividend distribution program (Zutr225) under the TR-GSMIS module

Save this softcopy template for reference.

So, please note.Thank you."
400000240,Template File for GSMIS Business Partner Upload Program,TR,Business Partner,Application,SAPGUI - Treasury Management,TR-GSMIS,As a local reference for the latest upload template because the template is not stored on the program,"Mr/Mrs.
The following is a template for the GSMIS Business Partner (ZUTR220) Upload Upload Program under the TR-GSMIS module

Save this softcopy template for reference.

So, please note.Thank you."
400000241,Template File for GSMIS Security Incoming Program,TR,Securities Receipt,Application,SAPGUI - Treasury Management,TR-GSMIS,As a local reference for the latest upload template because the template is not stored on the program,"Mr/Mrs.
The following is a template for the Security Incoming (Zutr221) upload program under the TR-GSMIS module

Save this softcopy template for reference.

So, please note.Thank you."
400000242,Template file for GSMIS Security ID Upload Program,TR,Securities ID,Application,SAPGUI - Treasury Management,TR-GSMIS,As a local reference for the latest upload template because the template is not stored on the program,"Mr/Mrs.
The following is a template for the Security ID (Zutr222) upload program under the TR-GSMIS module

Save this softcopy template for reference.

So, please note.Thank you."
400000243,Template file for GSMIS Security Account Upload Program,TR,Securities Account,Application,SAPGUI - Treasury Management,TR-GSMIS,As a local reference for the latest upload template because the template is not stored on the program,"Mr/Mrs.
The following is a template for the Security Account (Zutr223) upload program under the TR-GSMIS module

Save this softcopy template for reference.

So, please note.Thank you."
400000244,Template file for MDM Upload Upload Program Subsidiary Data,TR,MDM Master Data,Application,SAPGUI - Treasury Management,TR Module,As a local reference for the latest upload template because the template is not stored on the program,"Mr/Mrs.
The following is a list of templates for the MDM Updating Master Data Sunsidiary (ZUMD507) program under the TR Module.

Save this softcopy template for reference.

So, please note.Thank you."
400000245,Template File for MDM Upload Program Updating GL Balance Transfer (TR),TR,MDM GL Balance,Application,SAPGUI - Treasury Management,TR Module,As a local reference for the latest upload template because the template is not stored on the program,"Mr/Mrs.
The following is a list of templates for the MDM Updating GL Balance Transfer (TR) program (ZUMD506)


Save this softcopy template for reference.

So, please note.Thank you."
400000246,Documents not found in the sth of the Violence,AA,Documents Update Asset Data Data Not Found In STH Verification,Application,Master Data,Assets - Update of Asset Master Data,Update of asset master data is implemented by providers at PTJ paying assets.,"The approval and approval process for updating the asset Master Data is under the responsibility of the PTJ asset.Please contact the officer at the PTJ responsible for the asset to proceed with the approval and approval process if the PTJ is responsible for the asset to agree to the update.If you do not agree, please ask the PTJ and the provider to be responsible for eliminating the update document of the asset data."
400000247,Documents not found in STH Officer,AA,Asset Accountingdocuments not found in STH Officer,Application,Asset Accounting,Others,Documents have not been submitted to the Officer,Check the status of the document through the Journal Voucher Status Report.Go to the Asset Accountingmenu> Asset Report> Other Asset Reports> Journal Voucher Status Report.Take the next action.
400000268,The collector's statement,AR,(AR) Receipt Account - List of Collector Statements,Application,Receipt,Auto Collector Statement,"When clicking the 'Jana' button, the receipt list does not come out.",Users need to press 'enter' on each field filled so that the receipt list will come out when generated.
400000269,OL and CL,AR,(AR) Receipt Account - OL and CL,Application,SAPGUI - Custom Cash Ledger,Update Process,The issue of OL and CL amount is not the same because SK adjustments documents are only made on CL.,AO can determine the next step or refer to the BPOPA for further action.
400000270,DV (FB05),AR,(AR) Receipt Account - DV (FB05),Application,SAPGUI - Receipt,Receipts - Other,Users make DVs using FB05.,Users are not allowed to use FB05.The BJ adjustment on the portal can be used and the user manual is available on the website www2.anm.gov.my.Please refer to AO/BA to get the user manual
400000271,Receipt,AR,(AR) Receipt Account - Receipt,Application,Receipt,The Collector's Statement,Who runs the Treasury receipt.,"For agencies that integrate the collector statement (AR503), Treasury Receipt Information (AR506) will run according to JSM, TIME JOB will be determined by the Agency through the application."
400000273,Cash Book Report (BTC),AR,(AR) Receipt Account - Cash Book Report (BTC),Application,Receipt,Report,Users are unable to generate a monthly cash book report for a month.,User data is very much.This causes the PDF format to not be generated as it has reached the smartform limitation.Users need to draw BTC reports on a weekly or shorter date and then make compilation manually for the month.
400000310,Panjar - Panjar Certificate of Certificate,CM,Panjar Report,Application,Panjar,Panjar,There is an amount in the Certificate of Appendix I Certificate of Certificate of Certificate.,Check if the reception of rakupmen has been made?Appendix I displays the account that has been recorded to the AP but has not been locked in the reception.
400000318,"Server Dev, PRD, DR  /home directory reach more than 95% of utilization. The system's functionality was significantly impacted, leading to this incident.",HDW,"Dev, PRD, DR  /home directory reach more than 95% of utilization",ICT,Hardware,Server pSeries,"Critical malfunction in Dev, PRD and DR server operations detected.","Analyze Disk Usage
SSH into the Server where the /home directory is located using your preferred terminal or tool.

ssh user@server-ip
Check disk space usage for the /home directory.

df -h /home
Find large files and directories in the /home directory to identify where the space is being consumed.

du -sh /home/* | sort -rh | head -10
Step 2: Investigate and Remove Unnecessary Files
Examine user home directories for old or unnecessary files, logs, or backups that can be deleted.

Check for large media files, logs, backups, or unused software installers that can be archived or removed.

find /home -type f -size +100M
Delete or move files that are no longer needed. Be cautious when deleting, as you may need permission from users.

rm /home/username/largefile.log
Compress files that are large but still needed.

gzip /home/username/largefile.log
Step 3: Offload Files to External Storage
Move large files to external storage or a different partition if the /home partition is small.

For example, move files to /mnt/storage if available:
mv /home/username/largefile.log /mnt/storage/
Use cloud storage or network drives (like NFS) if you can’t expand local storage.

Step 4: Clean Up Old Logs and Temporary Files
Clean log files in user directories, if applicable. Logs from applications like web servers or databases might be consuming a lot of space.

Empty or truncate log files:
> /home/username/application.log
Use automated cleanup tools such as tmpwatch or logrotate to keep log sizes in check.

Configure logrotate for log files in /home that grow quickly:
sudo logrotate /etc/logrotate.conf
Step 5: Analyze User Quotas
Check if users have exceeded their allocated disk quotas (if quotas are enabled).

repquota -a
Set or enforce user quotas to prevent individual users from consuming too much space in /home.

edquota username
Step 6: Monitor and Automate Disk Space Alerts
Set up a monitoring tool like Nagios, Zabbix, or CloudWatch (for AWS servers) to monitor disk space utilization and receive alerts when usage exceeds a threshold (e.g., 80%).

Schedule a periodic cleanup (like a cron job) to clear temporary or unimportant files automatically.

Example of a cron job to delete old files older than 30 days:
find /home/username/tmp -type f -mtime +30 -exec rm {} \;
Step 7: Expand the File System (Optional)
If disk space is a persistent issue, consider expanding the /home partition by:

Adding more storage space to the server.
Resizing or expanding the partition using tools like lvextend (for LVM partitions) or increasing the disk in the cloud provider (AWS, Azure, etc.).
Example for extending LVM:

lvextend -L +10G /dev/mapper/volumegroup-homelv
resize2fs /dev/mapper/volumegroup-homelv
Step 8: Final Check
After taking action, verify that the /home directory utilization has been reduced.

df -h /home
Ensure that services are functioning normally and that no critical files were removed unintentionally."
